Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-17.513270863029,19.7315109105588,22.870235142783,9.46087551514414,6.77363482282503,9.85155370711459,14.6379665926207,5.09450933244204,7.89369800464715,9.87622491620958,16.3097834247824,14.7195846974514,4.72176209713496,7.32318669382785,2.07640555510578,0.311988572591957,2.03282420777539,3.02303972307179,..,..,..,..
Algeria,DZA,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,8.5535599838128,3.79407054938071,14.3026608002343,3.09389638052278,40.4553079033537,19.1829347846445,10.7791958779255,20.7216558142642,10.8512398872025,11.5688892266804,16.4174716183948,20.9856274503209,6.09223294063138,7.81026677295043,27.3653755617511,8.35240407362632,11.1688479588421,3.91424247065468,9.03894660904467,22.803571884738,17.6971392031524,24.9967047205307,30.9843109433687,15.4459435558549,26.7270094572438,29.9035363563052,21.3457233174802,3.85052088850115,7.21597653433628,5.81391926381656,1.01839556333492,3.33753740757916,2.7810831662827,3.07640703583245,4.90831974317499,3.05760112814222,1.69291380797748,3.67900060327271,5.06676444017324,4.28850170180861,3.71099994705031,4.02236829514948,2.97087673092955,2.91805322016185,2.29837118975919,1.79642907745854,1.2025374633144,-0.260620483634526,0.756993692566809
American Samoa,ASM,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.68569027308523,3.93611569435359,-0.933689994273422,-1.30555999380405,-0.621611819271408,-0.898634344157202,-1.54136634074914,-3.2403095023612,-3.91365088761491,-1.76098669146614,3.27600320188385,0.672063987941044,-0.306342375208942,1.20691525219814,0.217547644732122,0.546867393851969
Andorra,AND,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.62453466077469,0.431516904983582,1.37945448058974,2.62728283857574,2.15017592143224,4.22987019307477,6.30665673063152,0.168443005871737,6.31375110732395,5.96201124785489,4.48855853423376,8.80111718345501,-0.521621884650344,2.37636015259184,-0.462263563557968,-6.52605718395192
Antigua and Barbuda,ATG,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.73476540126028,-5.5459046106542,4.282377069349,7.72029453590606,2.3100762105955,-3.08322791537738,-1.74698191144496,-6.76512884548087,-15.2772007609616,7.01559763009701,8.35004742446419,6.28543577223171,9.83523974803342,8.25213917849381,6.18541157828369,-6.33853465844668,10.3549561851299,8.11487547841662,-0.0327369253530776,2.4856440130756,-5.40401277235273,2.54478227932562,-1.82367800809175,2.91268264896836,-3.36116209224413
Armenia,ARM,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.912095151108,5.70571564280911,9.22233475078487,5.62083347463613,1.38780209520341,8.89179267324577,7.86206284056415,8.8760518914155,7.83107114132508,9.5250571470373,9.80111489989994,9.13247807206649,14.2151937404803,6.26856326262006,-3.82072106823834,4.18866473665744,2.42776942059857,8.79058534369857,0.41836504762729,0.493161630572203,-8.12732639332449,-1.35690832404156,12.3547248495886,7.1185312095875
Aruba,ABW,Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
